"id","fqdn/ip","port","severity","finding","cve","cwe"
"cipher-tls1_2_x9f","www.soundsmag.org/51.159.70.213","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.soundsmag.org/51.159.70.213","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.soundsmag.org/51.159.70.213","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.soundsmag.org/51.159.70.213","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.soundsmag.org/51.159.70.213","443","INFO","NOT a cipher order configured","",""
"FS","www.soundsmag.org/51.159.70.213","443","OK","offered","",""
"FS_ciphers","www.soundsmag.org/51.159.70.213","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.soundsmag.org/51.159.70.213","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.soundsmag.org/51.159.70.213","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.soundsmag.org/51.159.70.213","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.soundsmag.org/51.159.70.213","443","INFO","yes","",""
"sessionresumption_ticket","www.soundsmag.org/51.159.70.213","443","INFO","not supported","",""
"sessionresumption_ID","www.soundsmag.org/51.159.70.213","443","INFO","supported","",""
"TLS_timestamp","www.soundsmag.org/51.159.70.213","443","INFO","random","",""
"certificate_compression","www.soundsmag.org/51.159.70.213","443","INFO","none","",""
"clientAuth","www.soundsmag.org/51.159.70.213","443","INFO","none","",""
"cert_numbers","www.soundsmag.org/51.159.70.213","443","INFO","1","",""
"cert_signatureAlgorithm","www.soundsmag.org/51.159.70.213","443","OK","SHA256 with RSA","",""
"cert_keySize","www.soundsmag.org/51.159.70.213","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.soundsmag.org/51.159.70.213","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.soundsmag.org/51.159.70.213","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.soundsmag.org/51.159.70.213","443","INFO","0370B58C6CCB2F344E86986CFC631B5B323C","",""
"cert_serialNumberLen","www.soundsmag.org/51.159.70.213","443","INFO","18","",""
"cert_fingerprintSHA1","www.soundsmag.org/51.159.70.213","443","INFO","0BF19CFD854B2B18D2FAB0640B38C883C391B946","",""
"cert_fingerprintSHA256","www.soundsmag.org/51.159.70.213","443","INFO","93A33AA4AB9FA2CB14F06F08A6D795ACBEE9708D399B1E1890A15FCD8C1479BE","",""
