"id","fqdn/ip","port","severity","finding","cve","cwe"
"cipher-tls1_2_xc02f","arthur.lutz.im/82.65.202.15","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","arthur.lutz.im/82.65.202.15","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","arthur.lutz.im/82.65.202.15","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS","arthur.lutz.im/82.65.202.15","443","OK","offered","",""
"FS_ciphers","arthur.lutz.im/82.65.202.15","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","arthur.lutz.im/82.65.202.15","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","arthur.lutz.im/82.65.202.15","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","arthur.lutz.im/82.65.202.15","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","arthur.lutz.im/82.65.202.15","443","INFO","yes","",""
"sessionresumption_ticket","arthur.lutz.im/82.65.202.15","443","INFO","not supported","",""
"sessionresumption_ID","arthur.lutz.im/82.65.202.15","443","INFO","supported","",""
"TLS_timestamp","arthur.lutz.im/82.65.202.15","443","INFO","random","",""
"certificate_compression","arthur.lutz.im/82.65.202.15","443","INFO","none","",""
"clientAuth","arthur.lutz.im/82.65.202.15","443","INFO","none","",""
"cert_numbers","arthur.lutz.im/82.65.202.15","443","INFO","1","",""
"cert_signatureAlgorithm","arthur.lutz.im/82.65.202.15","443","OK","SHA256 with RSA","",""
"cert_keySize","arthur.lutz.im/82.65.202.15","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","arthur.lutz.im/82.65.202.15","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","arthur.lutz.im/82.65.202.15","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","arthur.lutz.im/82.65.202.15","443","INFO","03783BA208347A47F3C25FDA73F747C3E28B","",""
"cert_serialNumberLen","arthur.lutz.im/82.65.202.15","443","INFO","18","",""
"cert_fingerprintSHA1","arthur.lutz.im/82.65.202.15","443","INFO","42D95584225723DE0A6765113D517C1A1F1A4FE8","",""
