"id","fqdn/ip","port","severity","finding","cve","cwe"
"FS_ciphers","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.cartographiepublicitaire.org/51.159.70.213","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","yes","",""
"sessionresumption_ticket","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","not supported","",""
"sessionresumption_ID","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","supported","",""
"TLS_timestamp","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","random","",""
"clientAuth","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","none","",""
"cert_numbers","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","1","",""
"cert_signatureAlgorithm","www.cartographiepublicitaire.org/51.159.70.213","443","OK","SHA256 with RSA","",""
"cert_keySize","www.cartographiepublicitaire.org/51.159.70.213","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","0467E5066A93CD06CC727A88441CAD4D4115","",""
